architecture,seed,fold,n_train,n_val,mse,r2,train_mse,gap,epochs_run,best_epoch,early_stopped,mse_HC,mse_NOx,mse_CO2,mse_PM,mse_eta
A8,1,3,27,7,0.016105152278018193,0.38530491962939317,0.013169756594896354,0.002935395683121839,300,300,false,0.005166193297288172,0.03500668231537502,0.005864022244700643,0.025640418391440278,0.008848445141286836
A8,1,4,28,6,0.14201120940496592,0.17702901473203692,0.005109264862743365,0.13690194454222254,300,300,false,0.05518624014219611,0.022588613771196458,0.027614747321085126,0.5498973413060483,0.0547691044843036
A8,2,0,27,7,0.011548861748079032,0.8472821993235378,0.012216157458265074,-0.000667295710186042,210,180,true,0.006037247846155809,0.015208750092373404,0.002695406541852054,0.01683786814018599,0.016965036119827897
A8,2,1,27,7,0.01618204318108542,0.7852660481643531,0.009582091196152887,0.006599951984932535,300,300,false,0.043360273725384944,0.004195181294621105,0.0011907751454708865,0.005389587267350611,0.02677439847259955
A8,2,2,27,7,0.012594530101477836,0.6182939382249841,0.013570981211276176,-0.0009764511097983403,300,300,false,0.008698661911839035,0.003814262287870637,0.014227854829015004,0.011842159421740847,0.024389712056923658
A8,2,3,27,7,0.03407716213259288,0.1790469268475242,0.03539191024386649,-0.001314748111273606,76,46,true,0.02386787280928096,0.04855767249212487,0.06005634812452886,0.03256726318152177,0.00533665405550793
A8,2,4,28,6,0.04765366867170192,0.6300222655989935,0.00835128550522223,0.03930238316647969,300,300,false,0.026727679148696254,0.010622716090060108,0.011909539955511028,0.1622669268473485,0.026741481316893672
A9,0,0,27,7,0.009794951694011298,0.7681352069366603,0.006755713825505857,0.0030392378685054405,300,300,false,0.003244522516071599,0.008089431397522816,0.007480379345179497,0.019053270642044855,0.011107154569237722
A9,0,1,27,7,0.036330993832584264,0.6918671779620122,0.006433472173749079,0.029897521658835184,300,300,false,0.01679492197178933,0.025134918700728703,0.00940032366257503,0.10417570093254967,0.026149103895278587
A9,0,2,27,7,0.009337601575042289,0.05450820419744995,0.05712338608035138,-0.047785784505309084,88,58,true,0.0016428997460494461,0.013067623537689753,0.0141232509656647,0.0053022589498490655,0.012551974675958479
A9,0,3,27,7,0.025548073689173185,0.6714694291887656,0.011283155427033011,0.014264918262140174,248,218,true,0.06120259274416306,0.001064019913857082,0.003861438459744199,0.007189902287776766,0.054422415040324815
A9,0,4,28,6,0.01418977485094659,0.8319895326044304,0.007872886240986731,0.006316888609959858,300,300,false,0.010066927008529842,0.014190384176483004,0.009770270683759547,0.014934416537400188,0.021986875848560378
A9,1,0,27,7,0.0213534965082567,0.6611276337237808,0.009971445234982647,0.011382051273274053,300,300,false,0.050955129169801015,0.002494566111613275,0.010749599116804445,0.01570486915734949,0.026863318985715263
A9,1,1,27,7,0.004211983997410782,0.8301671180088754,0.012763428512082089,-0.008551444514671307,300,300,false,0.003367715948549208,0.003266247832913991,0.0010037175667250767,0.008583465881530642,0.004838772757334998
A9,1,2,27,7,0.018190581011975064,-0.12480759674769848,0.03685726998373091,-0.018666688971755843,72,42,true,0.018343938355445417,0.015396380403356202,0.022670656833592876,0.011245039070974752,0.023296890396506044
A9,1,3,27,7,0.02755809820112751,-0.05182658916700844,0.020633272326082235,0.006924825875045275,127,97,true,0.0038095882331540217,0.06354652716498292,0.03149348685684512,0.015191349647275058,0.023749539103380412
A9,1,4,28,6,0.11981573032580455,0.30565432088081446,0.005065249697496093,0.11475048062830845,300,300,false,0.07678399720067129,0.02043358721398954,0.009547330958256928,0.45579436647388455,0.03651936978222034
A9,2,0,27,7,0.012637634653132349,0.8328846762495843,0.00820729448431982,0.004430340168812528,300,300,false,0.006598380695598342,0.012312518332238006,0.008109655261190252,0.013057657833861949,0.023109961142773198
A9,2,1,27,7,0.015666216338575876,0.792111014224291,0.007395768195795208,0.008270448142780669,300,300,false,0.05098585743545312,0.004255054447746068,0.003024664039171713,0.00209082994092595,0.017974675829582537
A9,2,2,27,7,0.011005240612691338,0.6664609938354146,0.010199743260058004,0.0008054973526333345,248,218,true,0.008703364068881418,0.0031852408247954856,0.01247892758447602,0.010964121804119346,0.019694548781184405
A9,2,3,27,7,0.03420374761511178,0.17599735539301087,0.040971144304160816,-0.006767396689049035,76,46,true,0.037868689823044054,0.011432832294497755,0.07587689658524395,0.03929225917913219,0.006548060193640959
A9,2,4,28,6,0.06451307940619054,0.49912769314005967,0.009300163194745272,0.055212916211445265,300,300,false,0.028147787608319878,0.011251140371142146,0.013328231612072972,0.2256463212071197,0.04419191623229805
